source_id,ordinal,S0_comp_valid,S1_comp_valid,S0_struct_valid,S1_struct_valid,S0_strict_stable,S1_strict_stable,S0_meta_stable,S1_meta_stable,S0_strict_sun,S1_strict_sun,S0_meta_sun,S1_meta_sun,S0_e_above_hull_eV_atom,S1_e_above_hull_eV_atom
H1A2_1200:0767,757,True,True,True,True,True,False,True,True,True,False,True,True,-0.034101544863280875,0.05303329324096717
H1A2_1200:0768,758,False,False,True,True,False,False,True,False,False,False,True,False,0.056381717593790626,0.16511775580179844
H1A2_1200:0769,759,False,False,True,True,False,True,False,True,False,True,False,True,0.24975178431274392,-0.013784907352905496
H1A2_1200:0770,760,True,True,True,True,True,True,True,True,True,True,True,True,-0.013236715601259164,-0.012489034937196664
H1A2_1200:0771,761,True,True,True,True,True,True,True,True,True,True,True,True,-0.028520646246337655,-0.028497281225585702
H1A2_1200:0772,762,True,True,True,True,False,False,False,False,False,False,False,False,0.10232055574078913,0.19734180360455866
H1A2_1200:0773,763,True,True,True,True,True,True,True,True,True,True,True,True,-0.0026044661811521763,-0.0025014693549803013
H1A2_1200:0774,764,False,False,True,True,False,False,True,False,False,False,True,False,0.07032236180677653,0.15605386815443278
H1A2_1200:0775,765,True,True,True,True,False,False,False,False,False,False,False,False,0.29061841262743826,0.2743859220878875
H1A2_1200:0776,766,True,True,True,True,False,False,False,False,False,False,False,False,0.12477782967016449,0.1756372809641098
H1A2_1200:0777,767,True,True,True,True,False,False,True,True,False,False,True,True,0.09006897108398704,0.09398046629272727
H1A2_1200:0778,768,False,False,True,True,False,False,True,True,False,False,True,True,0.007337954303793026,0.032519247791341854
H1A2_1200:0779,769,True,True,True,True,False,False,True,True,False,False,True,True,0.0530326469303386,0.05399645403635667
H1A2_1200:0780,770,True,True,True,True,False,False,False,False,False,False,False,False,0.5574714202282713,0.5574714202282713
H1A2_1200:0781,771,True,True,True,True,False,False,False,False,False,False,False,False,0.17612340974135066,0.18737104462904597
H1A2_1200:0782,772,True,True,True,True,False,False,True,True,False,False,False,False,0.0731888094038915,0.07301762486409658
H1A2_1200:0783,773,True,True,True,True,False,False,True,True,False,False,True,True,0.04129212644856839,0.044917042525228545
H1A2_1200:0784,774,True,True,True,True,False,True,True,True,False,True,True,True,0.007813690174856447,-0.019325735102853514
H1A2_1200:0785,775,True,True,True,True,False,False,False,False,False,False,False,False,0.3233524434711379,0.2348838918353957
H1A2_1200:0786,776,True,True,True,True,True,True,True,True,True,True,True,True,-0.0910811743085933,-0.06657269805126909
H1A2_1200:0787,777,True,True,True,True,False,False,False,False,False,False,False,False,0.13690907083199644,0.1121383341376605
H1A2_1200:0788,778,True,True,True,True,True,True,True,True,True,True,True,True,-0.030057798602701524,-0.05790461180460582
H1A2_1200:0789,779,False,False,True,True,False,False,True,True,False,False,True,True,0.03656811689208972,0.021406125772704954
H1A2_1200:0790,780,True,True,True,True,False,False,True,False,False,False,True,False,0.08619633134803095,0.10979786333045283
H1A2_1200:0791,781,True,True,True,True,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
H1A2_1200:0792,782,True,True,True,True,False,False,True,True,False,False,True,True,0.02778927840454104,0.02877013243896487
H1A2_1200:0793,783,True,True,True,True,False,False,False,False,False,False,False,False,0.12098760002327591,0.15516251915169388
H1A2_1200:0794,784,True,True,True,True,False,False,False,True,False,False,False,True,0.17358122736941972,0.09629975230228105
H1A2_1200:0795,785,True,True,True,True,False,False,True,True,False,False,True,True,0.03430065996215781,0.03473124391601523
H1A2_1200:0796,786,True,True,True,True,False,False,False,True,False,False,False,True,0.22715588354939786,0.09626646780843107
H1A2_1200:0797,787,True,True,True,True,False,False,True,True,False,False,True,True,0.015053919038085617,0.017032793244628586
H1A2_1200:0798,788,True,True,True,True,True,True,True,True,True,True,True,True,-0.00033908214734257314,-0.0012264760987585888
H1A2_1200:0799,789,True,True,True,True,False,False,False,False,False,False,False,False,0.11404498705053534,0.11592610963964667
H1A2_1200:0800,790,True,True,True,True,False,False,True,False,False,False,True,False,0.01454583953921329,0.14007179092471134
H1A2_1200:0801,791,True,True,True,True,False,False,True,True,False,False,True,True,0.06806490142368915,0.0888254376175368
H1A2_1200:0802,792,True,True,True,True,False,False,False,True,False,False,False,True,0.29283615368432603,0.05379673260278306
H1A2_1200:0803,793,True,True,True,True,False,False,True,True,False,False,False,False,0.022288018863281245,0.022171670596679682
H1A2_1200:0804,794,True,True,True,True,False,False,False,True,False,False,False,True,0.10561057800557538,0.07441612953450605
H1A2_1200:0805,795,False,False,True,True,False,False,False,False,False,False,False,False,0.118630222804752,0.11277895403644145
H1A2_1200:0806,796,True,True,True,True,False,False,False,False,False,False,False,False,0.14719382467410203,0.13388816061160203
H1A2_1200:0807,797,True,True,True,True,False,False,True,False,False,False,True,False,0.04280889227246654,0.35273444845532786
H1A2_1200:0808,798,True,True,True,True,False,False,True,False,False,False,True,False,0.09223680745514784,0.1337335611477748
H1A2_1200:0809,799,True,True,True,True,True,False,True,True,True,False,True,True,-0.0011832015386961103,0.00021512342773455373
H1A2_1200:0810,800,False,False,True,True,True,True,True,True,True,True,True,True,-0.683453823988037,-0.6826880235119628
H1A2_1200:0811,801,True,True,True,True,False,False,True,True,False,False,True,True,0.04094499369492688,0.04162114878525891
H1A2_1200:0812,802,True,True,True,True,False,True,False,True,False,True,False,True,0.10890329089450823,-0.024013636443138253
H1A2_1200:0813,803,True,True,True,True,True,True,True,True,True,True,True,True,-0.09828362624597986,-0.014098502802376345
H1A2_1200:0814,804,True,True,True,True,False,False,False,False,False,False,False,False,0.21440242073893145,0.25024436257242755
H1A2_1200:0815,805,True,True,True,True,False,False,False,False,False,False,False,False,0.19842697321480607,0.1947410219818959
H1A2_1200:0816,806,True,True,True,True,False,False,True,True,False,False,False,False,0.009140104631347512,0.00912770686523423
H1A2_1200:0817,807,True,True,True,True,False,False,False,True,False,False,False,True,0.1383478624579535,0.08083367178412537
H1A2_1200:0818,808,True,True,True,True,False,False,True,True,False,False,True,True,0.05310897766308642,0.053603934633301265
H1A2_1200:0819,809,True,True,True,True,False,False,False,True,False,False,False,False,0.3066047747648115,0.09815970259073925
H1A2_1200:0820,810,False,False,True,True,False,False,False,False,False,False,False,False,0.11934247891985184,0.10617175977312332
H1A2_1200:0821,811,True,True,True,True,False,False,True,True,False,False,True,True,0.07506912274414024,0.016687088442382425
H1A2_1200:0822,812,True,True,True,True,False,False,True,True,False,False,True,True,0.07081216788688849,0.041197242502367004
